meanBitLifeTimePerPacket:vector TS_network.sink1.app[0].sink (#0 - General-0-20250602-14:44:15-7672),,meanBitLifeTimePerPacket:vector TS_network.sink4.app[0].sink (#0 - General-0-20250602-14:44:15-7672),,meanBitLifeTimePerPacket:vector TS_network.sink2.app[0].sink (#0 - General-0-20250602-14:44:15-7672),,meanBitLifeTimePerPacket:vector TS_network.sink5.app[0].sink (#0 - General-0-20250602-14:44:15-7672),,meanBitLifeTimePerPacket:vector TS_network.sink3.app[0].sink (#0 - General-0-20250602-14:44:15-7672),,meanBitLifeTimePerPacket:vector TS_network.sink3.app[1].sink (#0 - General-0-20250602-14:44:15-7672),
0.000038177972,0.000009778,0.000044609809,0.000012609999999999,0.000015442,0.000015441999999999,0.000028210124,0.000012609999999999,0.000037441803,0.000015441999999999,0.000024673994,0.000018274
0.000138177872,0.000009778,0.000194608909,0.000012609999999999,0.000165441101,0.000015441999999999,0.000128210924,0.000012609999999999,0.000137440903,0.000015441999999999,0.000174673844,0.000018274
0.000238177772,0.000009778,0.000344608009,0.000012609999999999,0.000315440201,0.000015441999999999,0.000228211724,0.000012609999999999,0.000237440003,0.000015441999999999,0.000324673694,0.000018274
0.000338177672,0.000009778,0.000494607109,0.000012609999999999,0.000465439301,0.000015441999999999,0.000328212524,0.000012609999999999,0.000337439103,0.000015441999999999,0.000474673544,0.000018274
0.000438177572,0.000009778,0.000644606209,0.000012609999999999,0.000615438401,0.000015441999999999,0.000428213324,0.000012609999999999,0.000437438203,0.000015441999999999,0.000624673394,0.000018274
0.000538177472,0.000009778,0.000794605309,0.000012609999999999,0.000765437501,0.000015441999999999,0.000528214124,0.000012609999999999,0.000537437303,0.000015441999999999,0.000774673244,0.000018274
0.000638177372,0.000009778,0.000944604409,0.000012609999999999,0.000915436601,0.000015441999999999,0.000628214924,0.000012609999999999,0.000637436403,0.000015441999999999,0.000924673094,0.000018274
0.000738177272,0.000009778,0.001094603509,0.000012609999999999,0.001065435701,0.000015441999999999,0.000728215724,0.000012609999999999,0.000737435503,0.000015441999999999,0.001074672944,0.000018274
0.000838177172,0.000009778,0.001244602609,0.000012609999999999,0.001215434801,0.000015441999999999,0.000828216524,0.000012609999999999,0.000837434603,0.000015441999999999,0.001224672794,0.000018274
0.000938177072,0.000009778,0.00139460919,0.000012609999999999,0.001365441382,0.000015441999999999,0.000928217324,0.000012609999999999,0.000937433703,0.000015441999999999,0.001374673867,0.000018274
0.001038176972,0.000009778,0.00154460829,0.000012609999999999,0.001515440482,0.000015441999999999,0.001028218124,0.000012609999999999,0.001037432803,0.000015441999999999,0.001524673717,0.000018274
0.001138176872,0.000009778,0.00169460739,0.000012609999999999,0.001665439582,0.000015441999999999,0.001128218924,0.000012609999999999,0.001137431903,0.000015441999999999,0.001674673567,0.000018274
0.001238176772,0.000009778,0.00184460649,0.000012609999999999,0.001815438682,0.000015441999999999,0.001228219724,0.000012609999999999,0.001237431003,0.000015441999999999,0.001824673417,0.000018274
0.001338177908,0.000009778,0.00199460559,0.000012609999999999,0.001965437782,0.000015441999999999,0.001328210525,0.000012609999999999,0.001337441328,0.000015441999999999,0.001974673267,0.000018274
0.001438177808,0.000009778,0.00214460469,0.000012609999999999,0.002115436882,0.000015441999999999,0.001428211325,0.000012609999999999,0.001437440428,0.000015441999999999,0.002124673117,0.000018274
0.001538177708,0.000009778,0.00229460379,0.000012609999999999,0.002265435982,0.000015441999999999,0.001528212125,0.000012609999999999,0.001537439528,0.000015441999999999,0.002274672967,0.000018274
